machine,product,year,candidates
7-5s-med,7-5s-med,,
85s-fit-2026,85s-fit,2026,
ce800-2013,ce800,2013,"800025=CE800 | SPIRIT, ELLIPTICAL CE800 | FP=None ; 800040=Spirit CE800 2020 | Elliptical Spirit CE800 2020 | FP=None ; 800042=Spirit CE800 | Elliptical Spirit CE800 | FP=None ; 800043=CE800 CSAFE | FG, SPIRIT,   CE800 2009  ELLIPTICAL | FP=2016 ; 800044=CE800 2014 | FG, SPIRIT,   CE800 2014  ELLIPTICAL | FP=None ; 800045=Spirit CE800 2016 | Elliptical Spirit CE800 2016 | FP=2015 ; 800049=CE800 | FG, SPIRIT,   CE800 2009  ELLIPTICAL | FP=2016 ; 800052=CE800ENT | FG, Spirit CE800 ENT Elliptical | FP=None ; 800054=CE800 ENT | FG, SPIRIT ELLIPTICAL CE800 ENT | FP=None"
ce800-2021,ce800,2021,"800025=CE800 | SPIRIT, ELLIPTICAL CE800 | FP=None ; 800040=Spirit CE800 2020 | Elliptical Spirit CE800 2020 | FP=None ; 800042=Spirit CE800 | Elliptical Spirit CE800 | FP=None ; 800043=CE800 CSAFE | FG, SPIRIT,   CE800 2009  ELLIPTICAL | FP=2016 ; 800044=CE800 2014 | FG, SPIRIT,   CE800 2014  ELLIPTICAL | FP=None ; 800045=Spirit CE800 2016 | Elliptical Spirit CE800 2016 | FP=2015 ; 800049=CE800 | FG, SPIRIT,   CE800 2009  ELLIPTICAL | FP=2016 ; 800052=CE800ENT | FG, Spirit CE800 ENT Elliptical | FP=None ; 800054=CE800 ENT | FG, SPIRIT ELLIPTICAL CE800 ENT | FP=None"
ce800-2023,ce800,2023,"800025=CE800 | SPIRIT, ELLIPTICAL CE800 | FP=None ; 800040=Spirit CE800 2020 | Elliptical Spirit CE800 2020 | FP=None ; 800042=Spirit CE800 | Elliptical Spirit CE800 | FP=None ; 800043=CE800 CSAFE | FG, SPIRIT,   CE800 2009  ELLIPTICAL | FP=2016 ; 800044=CE800 2014 | FG, SPIRIT,   CE800 2014  ELLIPTICAL | FP=None ; 800045=Spirit CE800 2016 | Elliptical Spirit CE800 2016 | FP=2015 ; 800049=CE800 | FG, SPIRIT,   CE800 2009  ELLIPTICAL | FP=2016 ; 800052=CE800ENT | FG, Spirit CE800 ENT Elliptical | FP=None ; 800054=CE800 ENT | FG, SPIRIT ELLIPTICAL CE800 ENT | FP=None"
ce850-2022,ce850,2022,"850025=CE850 | SPIRIT, ELLIPTICAL CE850 | FP=None ; 850040=Spirit CE850 2020 | Elliptical Spirit CE850 2020 | FP=None ; 850042=SPIRIT CE850 | FG, Elliptical SPIRIT CE850 | FP=None ; 850045=Spirit CE850 2016 | Elliptical Spirit CE850 2016 | FP=2015 ; 850842=SPIRIT CE850 | FG, Elliptical SPIRIT CE850 | FP=None"
ce900-2021,ce900,2021,"900025=CE900 | Spirit CE900 Ellipticcal | FP=None ; 900040=CE900 | Spirit CE900 Grey | FP=None ; 900046=Spirit CE900 | Elliptical Spirit CE900 | FP=None ; 900050=CE900 | FG, Spirit Elliptical CE900 ENT | FP=None"
cic850-2022,cic850,2022,"850390=CIC850 | FG, SPIRIT, CIC850 BIKE | FP=None ; 850394=CIC850 | SPIRIT, BIKE CIC850 | FP=None"
crs800s-2021,crs800s,2021,800525=CRS800S | Spirit CRS800S Stepper | FP=None ; 800540=Spirit CRS800S 2020 | Stepper Spirit CRS800S 2020 | FP=None ; 800547=Spirit CRS800S | Stepper Spirit CRS800S | FP=2017
crw800-2021,crw800,2021,800925=CRW800 | Spirit CRW800 Rower | FP=None ; 800940=Spirit CRW800 2020 | Rower Spirit CRW800 2020 | FP=None ; 800945=Spirit CRW800 2016 | Rower Spirit CRW800 2016 | FP=2015 ; 800998=Spirit CRW800 H2O (NS) | Rower Spirit CRW800 H2O (NS) | FP=None
cs800-2021,cs800,2021,800625=CS800 | Spirit CS800 Stepper | FP=None ; 800640=Spirit CS800 2020 | Stepper Spirit CS800 2020 | FP=None ; 800645=Spirit CS800 2016 | Stepper Spirit CS800 2016 | FP=2015
ct800-2012,ct800,2012,"800825=CT800 | SPIRIT, TREADMILL CT800 | FP=None ; 800840=Spirit CT800 2020 | Treadmill Spirit CT800 2020 | FP=None ; 800843=CT800 CSAFE | FG, SPIRIT,  TREADMILL | FP=2009 ; 800844=CT800-2014 | FG, SPIRIT,  TREADMILL | FP=2009 ; 800845=Spirit CT800 2016 | Treadmill Spirit CT800 2016 | FP=2015 ; 800849=CT800 | FG, SPIRIT,  TREADMILL | FP=2009 ; 800852=CT800ENT | FG, Spirit CT800 ENT Treadmill | FP=None ; 801849=MED HANDRAIL CT800 2010 | FG, MED HANDRAIL CT800 2010 | FP=None"
ct900ent,ct900ent,,"900850=CT900 ENT | FG, SPIRIT CT900 ENT Treadmill | FP=None ; 900856=Spirit CT900ENT | Treadmill Spirit CT900ENT | FP=None ; 900859=Spirit CT900ENT 2020 | Treadmill Spirit CT900ENT 2020 | FP=None"
