path	verdict	model_ids	evidence	confidence
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/AB900/2018/AB900 2018 (AU800_AU800A) Service Manual.pdf	existing	ab900-2018	Cover p.1 "AU800/AU800A Service Manual", no Spirit name; PDF created 2018-11-05. Doc 1 (the AB900/AIR650 sheet) shows AB900 = the AU800 variant with Bluetooth, and this manual carries a Bluetooth section (p.11 "Bluetooth function: Only the model of Bluetooth device configuration"). The AB900 OM is Rev 12.13.2018 and ab900-2018 is the only AB900 id.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/AB900/Discrepancy Between AB900 and AIR650.pdf	not-a-manual		One PowerPoint page, 21 words: "Discrepancy Between AB900 and AIR650" - Bluetooth yes/no, iron-net wind cover, connecting-arm cover. A comparison sheet, not a manual; it only tells you doc 0 (AU800/AU800A) covers the AB900 as the Bluetooth variant.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/CIC850 Pairing Process.pdf	not-a-manual		Lexmark scan, no text layer; OCR of the one page reads "New SB700/900 Console | CIC X50" then a KM/miles change procedure and a chest-strap PAIR procedure (press Mode/Page, pedal until 0 or ERR). A one-page console support tip for the CIC850 (cic850-2022), not a manual.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/CIC850/2020/CIC850 Service Manual.pdf	existing	cic850-2022	Cover p.1 "CIC850 Service Manual", 37 pages, PDF created 2021-12-15; owner manual Rev 05.05.2022 and cic850-2022 is the only CIC850 id.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/CR800/2014/CR800 (XR898) Service Manual 1000104-OK.pdf	new-machine	cr800-2011	Cover p.1 "XR898 Service Manual", 18 pages of disassembly and Q&A, no year printed anywhere; PDF created 2011-01-12 (Acrobat Distiller 9). Same console family (induction brake, no generator) as the XU878 CU800 (doc 11) that maps to cu800-2012. No CR800 owner manual of this era is on disk, so no id exists; 2011 is the PDF creation date, the only date evidence.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/CR800/2020/CR800 Service Manual.pdf	existing	cr800-2021	Cover p.1 "CR800 2020 Ver. Service Manual", PDF created 2021-12-09; no Bluetooth or Spirit+ text (the 2024 OM has 17 Bluetooth mentions), HDMI-free matrix console. The Spirit "2020" generation is the Nov-2021 owner manual (as ct850-2020 and ce850-2020 established). The 2023 CR800 OM (800140) is the same hardware reprinted. TOC line "6. XS500-YP002 Basic Connections" is a copy-paste of the Sole CC81 code, not a machine.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/CR800ENT/2020/CR800ENT Service Manual.pdf	existing	cr800ent-2023	Cover p.1 "CR800 ENT 2020 Ver. Service Manual", PDF created 2021-12-16; engineering-mode menus with A/V Source and HDMI (4 mentions). HDMI appears in the 2023 CR800ENT OM and not in the 2024 New Black OM, and cr800ent-2023 is the earliest CR800ENT id; the MODEL-table style SKU for this generation would be 8001x0/2020.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/CR900/2014/CR900 (SR8800-SB008)_Service Manual.pdf	existing	cr900-2018	Cover p.1 "SR8800-SB008 Service Manual", factory code only, PDF created 2018-07-23; generator bike, EMS brake, no Bluetooth. The CR900 OM body is Rev 08.05.2018 (cr900-2018); the 2025 OM is the New Black redesign.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/CR900ENT/2016/CR900ENT Service Manual.pdf	existing	cr900ent-2021	Cover p.1 "CR900 ENT Service Manual", PDF created 2021-11-23, Android/HDMI ENT console; the only CR900ENT id, OM Rev 11.08.2021.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/CU1000-2023 SU8880-SB028 service manual.pdf	new-machine	cu1000-2023	Cover p.1 "SERVICE MANUAL CU1000(2023) SU8880-SB028 ENT Upright Bike", 35 pages, PDF created 2023-05-15. No CU1000 id in kb.yaml.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/CU800/2020/CU800 Service Manual.pdf	existing	cu800-2021	Cover p.1 "CU800(2020) Service Manual", the string CU800(2020) repeats 17 times through the TOC; PDF created 2021-11-19. No Bluetooth/Spirit+ text. The CU800 2020 generation is the OM CU800_800340_OM_20211112 = cu800-2021 (800340 follows the MODEL table x40 = 2020 pattern).	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/CU800/CU800 (XU878-AB04M) - Service Manual.pdf	existing	cu800-2012	Cover p.1 "XU878-AB04M Service Manual", PDF created 2012-03-05; p.7 program keys "MANUAL, PROGRAM, CUSTOM, FIT-TEST, HRC1, Constant power" match the CU800 OM effective March 1 2012 (Fit-Test, Custom, Constant Power) and not the 2021 OM (HIIT).	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/CU800ENT/2020/CU800ENT Service Manual.pdf	existing	cu800ent-2022	Cover p.1 "CU800 ENT 2020 ver. Service Manual", PDF created 2021-12-16; HDMI/A-V Source engineering menus as in the CU800ENT_800350_OM_20220208 (HDMI 4 mentions), absent from the 2024 OM. 800350 follows the x50 = ENT 2020 pattern in the MODEL table.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/CU900/2016/CU900 Service Manual.pdf	existing	cu900-2018	Cover p.1 "CU900 Service Manual", PDF created 2021-11-24; generator/EMS bike without Bluetooth; 42% of its 8-word phrases sit in the CU900_900346 OM (body Rev 08.08.2018) against 35% for the 2025 New Black OM; 68% similar to the SR8800-SB008 CR900 manual.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/CU900ENT/CU900ENT Service Manual.pdf	already-ingested	cu900ent	Same filename as manifest origin_uri of spirit-bike-cu900ent-service-manual; 99.9% of the PDF vocabulary is in that text.md (manifest sha256 is of text.md, not the PDF).	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/E50H CT800 2020.pdf	not-a-manual		Skia/PDF export of six photographed pages, no text layer; OCR reads "Spirit TM CT800 #800840 E-50H ... Error Message for DC Motor Controller ... E-50H Service Doc ... upper computer cable must be plugged into the JK6/STD red 6-pin port". A service bulletin about the E-50H error on the CT800 2020 (800840 = ct800-2020), not a manual.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/JB950 (Johnny G Bike)Service Manual for SPIRIT.pdf	existing	jb950-2022	Cover p.1 "JOHNNY G Spirit Bike JB950 Service Manual", 51 pages, PDF created 2019-12-16; the only JB950 id (OM Rev 04.21.2022, warranty Nov 19 2021). The service manual predates the OM by two years.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/Mannual Service v1.0 （magnetic)900660.pdf	existing	csc900-2024	Cover p.1 "AnyFit Service Manual (Magnetic) Issued by AnyFit Service Dept."; 93% word-identical to doc 38 (CSC900 2022 Service Manual, Magnetic system) - the OEM original with an extra "Outwires" preamble. Its magnetic-wheel troubleshooting table (ERO2 magnetic wheel, ER12, ER11) is printed word for word in the CSC900 2024 OM p.~30; the 2019/2021 OMs have no troubleshooting section and no magnetic wheel. 900660 in the filename is not in any OM or the MODEL table.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/SB600/SB600__service manual_V1.0.pdf	new-machine	sb600-2025	Cover p.1 "SERVICE MANUAL SB600"; p.30 "Version 1.0 2025/7/28: Initial release". SB600 is an XTERRA recumbent bike (Xterra Owners Manuals/Bikes/SB600_OM_20230801.pdf, "register your new XTERRA"), not Spirit or Sole; kb.yaml declares no xterra brand.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/ST8900-YT061(ST90)_Service Manual Ver1.1.pdf	already-ingested	st90-2021	Cover p.1 "ST8900-YT061 Service Manual" (Sole ST90 treadmill, filed in Spirit/Bikes). PDF-to-PDF it is 98.3% word-identical to the ingested ST90 Ver1.2 (sole-tm-st90-2021-service-manual); this is the Ver1.1 predecessor, 70 pages, created 2021-04-06.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/ST8900-YT061(ST90)_Service Manual.pdf	already-ingested	st90-2021	Cover p.1 "ST8900-YT061 Service Manual" (Sole ST90), unversioned 66-page export created 2021-02-24; 95.3% word-identical to the ingested Ver1.2 PDF, 96.8% to doc 19. An earlier revision of the same document.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/XBR25 (XR327-SB005 2016) Service Manual.pdf	existing	xbr25-2019	Cover p.1 "XR327-SB005-01 Service Manual", PDF created 2017-10-12; gear-motor/reed-switch tension, 7.5" LCD, no Bluetooth. Non-A factory code = the pre-2023 XBR25 (the 2023 XBR25 sibling codes are XR329A/XU319A); xbr25-2019 (OM Rev 02.04.2019) is the only pre-2023 XBR25 id.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/XBR25 XBR55 service manual.pdf	multi-machine	xbr25-2008,xbr55-2008	Cover p.1 "SERVICE MANUAL XBR25 XBR55": a 20-page Spirit Manufacturing Inc. dealer manual (troubleshooting procedures, warranty, exploded views and parts lists for both bikes), PDF created 2008-11-21 by PrimoPDF, no printed date. A generation before the Dyaco-era XBR25/XBR55 (2016 codes, 2019 OMs), so no existing id fits; year is the PDF creation date only.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/XBR55 (XR329-SB011 2016) Service Manual.pdf	existing	xbr55-2019	Cover p.1 "XR329-SB011-01 Service Manual", PDF created 2017-09-26; gear motor + reed switch, gas cylinder, USER1 program key. Non-A code = pre-2023 XBR55 (2023 is XR329A-SB030, doc 24); xbr55-2019 OM (USER 1/USER 2 keys) with xbr55-2021 its Rev 02.04.2021 reprint.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/XBR55/2023/XBR55 (551123) Service Manual.pdf	existing	xbr55-2023	Cover p.1 "SERVICE MANUAL XBR55(2023) XR329A-SB030 RECUMBENT BIKE", PDF created 2023-10-17. Filename SKU 551123; the XBR55 2023 OM filename carries 551223 - one of the two is a typo.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/XBR55_ENT_XR329-SB013-01 Service Manual.pdf	existing	xbr55ent-2021	Cover p.1 "XR329-SB013-01 Service Manual", 67 pages, PDF created 2021-08-15; TFT touch ENT console on the XR329 recumbent; xbr55ent-2021 is the only XBR55ENT id (OM Nov 30 2021). Doc 30 (XBU55ENT) is 94% contained in it.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/XBR95 (XR829-SB012 2016) Service Manual -En.pdf	existing	xbr95-2016	Cover p.1 "XR829-SB012-01 Service Manual", PDF created 2017-10-11; generator recumbent with induction brake, mesh seat back and gas cylinder, 7.5" LCD, no Bluetooth. The 2016, 2018 and 2021 XBR95 OMs are the same text (same hardware); the 2023 is XR829A-SB032 (doc 27). Primary id by the 2016 revision date; xbr95-2018 and xbr95-2021 are reprints of the same machine.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/XBR95/2023/XBR95 (951123) Service Manual.pdf	existing	xbr95-2023	Cover p.1 "SERVICE MANUAL XBR95(2023) XR829A-SB032 RECUMBENT BIKE"; filename SKU 951123 = xbr95-2023 in reference/model-numbers.csv.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/XBU55 (XU319-SB011 2016) Service Manual.pdf	existing	xbu55-2019	Cover p.1 "XU319-SB011-01 Service Manual", PDF created 2017-10-17; gear motor, USER1 key, no Bluetooth. Non-A code = pre-2023 XBU55 (2023 is XU319A-SB030, doc 29); xbu55-2019 OM with xbu55-2021 its reprint.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/XBU55/XBU55 (553123) Service Manual.pdf	existing	xbu55-2023	Cover p.1 "SERVICE MANUAL XBU55(2023) XU319A-SB030 UPRIGHT BIKE", PDF created 2023-10-06. Filename SKU 553123 disagrees with the repository (xbu55-2023 = 552123 in model-numbers.csv and on four cards); the cover, not the SKU, decides.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/XBU55ENT/2020/XBU55ENT Service Manual.pdf	existing	xbu55ent-2021	Cover p.1 "XBU55 ENT Service Manual", 33 pages, PDF created 2021-11-23, TFT LCD touch panel; the only XBU55ENT id (OM Nov 30 2021). 94% of its text is inside doc 25 (XBR55ENT).	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Bikes/XIC600 (SB700, SB702 )Service Manual.pdf	existing	sb700-2011	Cover p.1 "SB700 Service Manual" - a 17-page Dyaco parts-replacement manual naming only SB700, PDF created 2009-10-30 (Distiller 7). Filed under XIC600 but it predates the XIC600 (2018) by nine years and shares 52% of its phrases with the Sole SB700 2019 service manual; the earliest Sole SB700 id is sb700-2011. Sole brand, not Spirit; the Spirit twin of that era is cb900-2013.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Climbers Steppers/75S/DYACO 7.5S (RS9600-SS021) Service Manual.pdf	existing	7-5s-med	Cover p.1 "7.5S(RS9600-SS021-01) Service Manual", PDF created 2021-04-12, 10.1" touch console; 28% of its phrases sit in the 7.5S MED rehab stepper OM against 4% for the 2025 7.5S OM.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Climbers Steppers/CRS800s/CRS800S Service Manual.pdf	existing	crs800s-2021	Cover p.1 "CRS800S 2020 ver. Service Manual", PDF created 2021-12-15; no Bluetooth/Spirit+ text. Spirit 2020 generation = the CRS800S_20211008 OM (crs800s-2021); the 2024 New Black OM is a different console.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Climbers Steppers/CS800/CS800 Service Manual.pdf	existing	cs800-2021	Cover p.1 "CS800(2020) Service Manual" (17 repeats), PDF created 2021-11-19; no Bluetooth/Spirit+. Spirit 2020 generation = CS800_20211112 OM (cs800-2021).	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Climbers Steppers/CS800/CS800, 2016 (XS200-SS003) Service Manual.pdf	new-machine	cs800-2016	Cover p.1 "XS200-SS003 Service Manual", 72 pages, PDF created 2017-09-06; a pre-2020 CS800 stepper (no CS800(2020) text, 2016-era factory code like the CE850 XE898-SE011). No CS800 id before cs800-2021 exists and no OM for it is on disk; 2016 follows the filename and the sibling 2016 codes, not a printed date.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Climbers Steppers/CSC800/CSC880 SERVICE MANUAL.pdf	existing	csc880-2025	Cover p.1 "CSC880 Service Manual (Magnetic)", p.3 "internal technical data of Spirit CSC880", PDF created 2025-07-31; the only CSC880 id (OM (c) 2025).	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Climbers Steppers/CSC900/CSC900 SERVICE MANUAL-CLIMBMILL(2020MAR16).pdf	existing	csc900-2019	Cover p.1 "CSC900 Service Manual (V1.0)", PDF created 2020-03-16 (filename CLIMBMILL 2020MAR16); alternator-based drive with ER07/ER11/ER12/ER22 troubleshooting - the pre-magnetic CSC900. csc900-2019 (OM Rev 12.01.2019) is that generation; csc900-2021 is its 85.9% reprint and may share the hardware.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Climbers Steppers/CSC900/CSC900 Service Manual 2022.pdf	existing	csc900-2024	Cover p.1 "CSC900 2022 Service Manual (Magnetic system)", 14 pages, PDF created 2022-03-09. Its troubleshooting rows (ERO2 magnetic wheel connection, ER12 can not brake, ER11 electronic meter data, ERO7 emergency stop) are printed word for word in the CSC900 2024 OM; the 2019/2021 OMs carry no troubleshooting and no magnetic wheel. Dated 2022, so it may also serve late csc900-2021 units. Doc 17 is its AnyFit-branded original.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Climbers Steppers/CVC800/CVC800 Service Manual.pdf	already-ingested	cvc800	Same filename as manifest origin_uri of spirit-climber-cvc800-service-manual; 99.5% of its 8-word phrases are in that text.md.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Climbers Steppers/XS895/XS895 (XE895-SE022 2016) Service manual.pdf	existing	xe895-2018	Cover p.1 "XE895-SE022 Service Manual", 105 pages, PDF created 2017-07-26. It is an ELLIPTICAL manual (stride 85 mentions, connecting arm, swing arm, "elliptical" 14 times, no stepper/floors text) and is 98% word-identical to the CE850 XE898-SE011 manual (doc 47) apart from 7.5" LCD vs matrix console and USER1/2 keys. The folder Climbers Steppers/XS895 is wrong: this documents the XE895 elliptical (xe895-2018, the machine with no cards), not the XS895 stepper.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Climbers Steppers/XS895/XS895 Service Manual.pdf	existing	xs895-2021	Cover p.1 "XS300B-YS006 Service Manual", PDF created 2021-06-16; a stepper (stepper 12, floors/FPM, 10.1 console with HIIT/2User/2HR keys). 26% phrase overlap with both XS895 OMs, which are 97% the same text; xs895-2021 (OM Feb 19 2021) by date, xs895-2018 is the same hardware.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Ellipticals/CE1000-2023 SE8880-SB028 service manual.pdf	new-machine	ce1000-2023	Cover p.1 "SERVICE MANUAL CE1000(2023) SE8880-SB028 ENT Elliptical", 34 pages, PDF created 2023-05-15. No CE1000 id in kb.yaml.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Ellipticals/CE800/CE800 Service Manual.pdf	existing	ce800-2021	Cover p.1 "CE800(2020) Service Manual" (17 repeats), PDF created 2021-11-18; matrix console, 40 levels, no Bluetooth/Spirit+. Spirit CE800 2020 (MODEL table 800040) = the CE800_20211108 OM (ce800-2021); the 2023 CE800 OM (800042) is the same text reprinted.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Ellipticals/CE800ENT/CE800ENT Service Manual.pdf	already-ingested	ce800ent	Same filename as manifest origin_uri of spirit-elliptical-ce800ent-service-manual; 95.4% of its 8-word phrases are in that text.md.	certain
