relpath	source_id	title	model_ids
Climbers/SOLE CC81 2019 Owners Manual (581519).pdf	sole-cl-cc81-2019-owners-manual	Sole CC81 2019 owner's manual (581519) — same SKU as cc81-2020's machine	cc81-2020
Climbers/SOLE SC200 2016 Owners Manual (520516).pdf	sole-cl-sc200-2016-owners-manual	Sole SC200 2016 owner's manual (520516)	sc200-2016
Climbers/SOLE SC200 2017 Owners Manual (520517).pdf	sole-cl-sc200-2017-owners-manual	Sole SC200 2017 owner's manual (520517)	sc200-2019
Climbers/SOLE SC300 2017 Owners Manual (530517).pdf	sole-cl-sc300-2017-owners-manual	Sole SC300 2017 owner's manual (530517)	sc300-2017
Rowers/SOLE SR400 Owners Manual.pdf	sole-rw-sr400-owners-manual	Sole SR400 owner's manual — no date, SKU or db row	sr400
Rowers/SOLE SR500 2019 Owners Manual (500918).pdf	sole-rw-sr500-2019-owners-manual	Sole SR500 2019 owner's manual (500918)	sr500-2019
Rowers/SOLE SR500 2022 Owners Manual (500911).pdf	sole-rw-sr500-2022-owners-manual	Sole SR500 2022 owner's manual (500911) — 500911 moved from sr500-2016	sr500-2022
Rowers/SOLE SR550 2023 Owners Manual (555922).pdf	sole-rw-sr550-2023-owners-manual	Sole SR550 2023 owner's manual (555922)	sr550-2023
SRVO/SOLE SRVO Complete Owners Manual (578712).pdf	sole-srvo-complete-owners-manual	Sole SRVO Complete owner's manual (578712) — undated, row mismatch	srvo
SRVO/SOLE SRVO Owners Manual (578722).pdf	sole-srvo-owners-manual	Sole SRVO owner's manual (578722), warranty eff Feb 2021	srvo-2021
Strength/SOLE SW100 2023 Owners Manual.pdf	sole-sw-sw100-2023-owners-manual	Sole SW100 2023 owner's manual	sw100-2023
Strength/SOLE SW121 2023 Owners Manual.pdf	sole-sw-sw121-2023-owners-manual	Sole SW121 2023 owner's manual	sw121-2023
Strength/SOLE SW155 2023 Owners Manual.pdf	sole-sw-sw155-2023-owners-manual	Sole SW155 2023 owner's manual	sw155-2023
Strength/SOLE SW180 2023 Owners Manual.pdf	sole-sw-sw180-2023-owners-manual	Sole SW180 2023 owner's manual	sw180-2023
