file	model	stamp	copyright	effective	SKU rows
Spirit Owners Manuals/Rowers/ERG750/ERG750W_OM_20251112.pdf	ERG750W	11.12.2025	2025	November 12, 2025	175926=ERG750W FP=
Spirit Service Manuals/Bikes/SB600/SB600__service manual_V1.0.pdf	SB600	1.0 2025/7/28			
Spirit Service Manuals/Rowers/ERG160/ERG160__service manual_V1.0.pdf	ERG160				
Spirit Service Manuals/Rowers/ERG180/ERG180__service manual_V1.0.pdf	ERG180	1.0 2025/7/31			
Spirit Service Manuals/Rowers/ERG750/ERG-750W Service Manual.pdf	?				
Spirit Service Manuals/Rowers/ERG800W/ERG800W_R80_service manual_V1.0.pdf	ERG800W	1.0 2025/8/11			
Xterra Owners Manuals/Bikes/AIR350_OM.pdf	AIR350		2019	June 13, 2019	135719=AIR350 FP=
Xterra Owners Manuals/Bikes/AIR650_OM_20201211.pdf	AIR650		2020	December 12, 2020	165718=Xterra AIR650 FP=10/23/2018
Xterra Owners Manuals/Bikes/FB150_OM_20210827.pdf	FB150		2021	August 27, 2021	
Xterra Owners Manuals/Bikes/FB160_OM_20210506.pdf	FB160		2019	September 19, 2019	
Xterra Owners Manuals/Bikes/FB180_OwnersManual_20250409.pdf	FB180	04.09.2025	2025	June 01, 2025	115425=XTERRA FB180 FP= ; 118425=XTERRA FB180(NS) FP=
Xterra Owners Manuals/Bikes/FB350_OM_20210827.pdf	FB350		2021	August 27, 2021	
Xterra Owners Manuals/Bikes/FB360_OM_20210506.pdf	FB360		2019	September 13, 2019	136419=FB360 FP=
Xterra Owners Manuals/Bikes/MB500_M_141314.pdf	MB500				
Xterra Owners Manuals/Bikes/MB550_OM_20180821.pdf	MB550		2018	August 21, 2018	
Xterra Owners Manuals/Bikes/MBX2500_OM_20180821.pdf	MBX2500		2018	August 21, 2018	
Xterra Owners Manuals/Bikes/SB120_OM_20220721.pdf	SB120		2022	July 19, 2022	
Xterra Owners Manuals/Bikes/SB150_OM_20180821.pdf	SB150		2018	August 21, 2018	115314=XTERRA SB150 FP=
Xterra Owners Manuals/Bikes/SB240_OM_20230809.pdf	SB240	08/16/23	2023	August 01, 2023	
Xterra Owners Manuals/Bikes/SB250_OM_20240418.pdf	SB250		2019	June 21, 2019	
Xterra Owners Manuals/Bikes/SB25r_OM_20200706.pdf	SB25R		2018	July 06, 2020	
Xterra Owners Manuals/Bikes/SB4500_OM_20210810.pdf	SB4500		2021	August 10, 2021	145510=SB4500 FP=
Xterra Owners Manuals/Bikes/SB45r_OM_145111.pdf	SB45R				145111=XTERRA SB4.5r 2012 FP=
Xterra Owners Manuals/Bikes/SB500_OM_150314.pdf	SB500				150314=XTERRA SB500 FP=8/1/2014 1
Xterra Owners Manuals/Bikes/SB500_OM_20200706.pdf	SB500		2018	July 06, 2020	150314=XTERRA SB500 FP=8/1/2014 1
Xterra Owners Manuals/Bikes/SB600_OM_20230801.pdf	SB600	08/01/23	2023	August 01, 2023	
Xterra Owners Manuals/Bikes/UB120_OM_20231206.pdf	UB120		2019	December 06, 2023	
Xterra Owners Manuals/Climbers Steppers/RSX1500_OM_115518.pdf	RSX1500				
Xterra Owners Manuals/Climbers Steppers/RSX1500_OM_20210712.pdf	RSX1500		2021	August 21, 2018	
Xterra Owners Manuals/Ellipticals/EU100_OM_20180821.pdf	EU100		2018	August 21, 2018	
Xterra Owners Manuals/Ellipticals/EU150_OM_20240426.pdf	EU150		2024	April 26, 2024	115024=XTERRA EU150 FP=
Xterra Owners Manuals/Ellipticals/FS150_OM_115016.pdf	FS150				
Xterra Owners Manuals/Ellipticals/FS15_OM_20190215.pdf	FS15		2019	February 15, 2019	
Xterra Owners Manuals/Ellipticals/FS25_OM_20200706.pdf	FS25		2020	July 06, 2020	
Xterra Owners Manuals/Ellipticals/FS30_OM_20180821.pdf	FS30		2018	August 21, 2018	
Xterra Owners Manuals/Ellipticals/FS35_OM_20200706.pdf	FS35		2020	July 06, 2020	
Xterra Owners Manuals/Ellipticals/FS5.8e_OM_1558012.pdf	FS5.8E				158012=XTERRA FS5.8e 2013 FP= ; 158012=XTERRA FS5.8e 2013 FP=
Xterra Owners Manuals/Ellipticals/FS59e_OM_159003.pdf	FS59E				
Xterra Owners Manuals/Rowers/ER800W_OM_20231018.pdf	ER800W	10/18/23	2023	September 26, 2023	
Xterra Owners Manuals/Rowers/ERG160_OM_20200429.pdf	ERG160		2020	January 06, 2020	
Xterra Owners Manuals/Rowers/ERG180_OM_20230801 (1).pdf	ERG180	08/01/23	2023	August 01, 2023	
Xterra Owners Manuals/Rowers/ERG180_OM_20230801.pdf	ERG180	08/01/23	2023	August 01, 2023	
Xterra Owners Manuals/Rowers/ERG220_OM_20230313.pdf	ERG220		2019		
Xterra Owners Manuals/Rowers/ERG400_OM_140914.pdf	ERG400				140914=XTERRA ERG400 FP=8/18/2014  ; 140914=XTERRA ERG400 FP=8/18/2014 
Xterra Owners Manuals/Rowers/ERG500_OM_20180821.pdf	ERG500		2018	August 21, 2018	
Xterra Owners Manuals/Rowers/ERG550W_OM_20230101.pdf	ERG550W		2022	January 1, 2023	
Xterra Owners Manuals/Rowers/ERG600W_OM_20210511.pdf	ERG600W		2021	May 11, 2021	
Xterra Owners Manuals/Rowers/ERG650W_OM_20210118.pdf	ERG650W		2021	March 04, 2020	
Xterra Owners Manuals/Rowers/ERG700_OM_20220131.pdf	ERG700		2020	January 31, 2022	
Xterra Owners Manuals/Strength/ADB12.5PR_OM_20220913.pdf	ADB12.5PR		2022	June 16, 2022	
Xterra Owners Manuals/Strength/ADB25_OM_20220913.pdf	?		2022	June 16, 2022	
Xterra Owners Manuals/Strength/ADB55_OM_20220913.pdf	?		2022	June 16, 2022	
Xterra Owners Manuals/Strength/DBSTAND_OM_20220913.pdf	DBSTAND		2022	June 16, 2022	
Xterra Owners Manuals/Treadmills/TR1400_OM_20230509.pdf	TR1400	05/09/23	2023	March 08, 2023	
Xterra Owners Manuals/Treadmills/TR150_OM_20210413.pdf	TR150	04.13.2021;04.13.2021	2021	March 13, 2021	
Xterra Owners Manuals/Treadmills/TR200_OM_20210413.pdf	TR200	04.13.2021;04.13.2021	2021	March 13, 2021	
Xterra Owners Manuals/Treadmills/TR260_OM_20231208.pdf	TR260	4.0	2022	August 24, 2022	
Xterra Owners Manuals/Treadmills/TR300_OM_20210413.pdf	TR300		2021	March 13, 2021	
Xterra Owners Manuals/Treadmills/TR64_OM_20240607.pdf	TR64		2024	June 07, 2024	164583=XTERRA TR6.45 FP=6/1/2013 1
Xterra Owners Manuals/Treadmills/TR65_OM_20230928.pdf	TR65	09/28/23	2023	September 28, 2023	165811=XTERRA TR6.55 2012 FP=8/24/2011  ; 165873=TR65 FP=
Xterra Owners Manuals/Treadmills/TR66_OM_20210413.pdf	TR66		2021	March 13, 2021	166583=XTERRA TR6.65 2013 FP=6/1/2013 1 ; 166813=XTERRA TR6.6 2013 FP=
Xterra Owners Manuals/Treadmills/TR75H_OwnersManual_20250522.pdf	TR75H	08/19/25	2025	May 29, 2025	175825=TR75H FP=
Xterra Owners Manuals/Treadmills/TR75_OM_20240607.pdf	TR75	06/07/24	2024	June 07 2024	175825=TR75H FP= ; 175873=TR75 FP=
Xterra Owners Manuals/Treadmills/TR85_OM_20240607.pdf	TR85	06/07/24	2024	June 07, 2024	185873=FG, TR85 Treadmill FP=
Xterra Owners Manuals/Treadmills/TR95H_OM_20240103.pdf	TR95H	01/19/24	2023	January 03, 2024	195813=TR95H FP=
Xterra Owners Manuals/Treadmills/TRX1000_OM_20210413.pdf	TRX1000	3.0	2021	March 13, 2021	100819=Xterra TRX1000 FP=
Xterra Owners Manuals/Treadmills/TRX2500_OM_20240607.pdf	TRX2500		2024	June 07, 2024	125817=Xterra TRX2500 FP=6/19/2017  ; 125817=Xterra TRX2500 FP=
Xterra Owners Manuals/Treadmills/TRX3500_OM_20240607.pdf	TRX3500		2024	June 07, 2024	135817=XTERRA TRX3500 FP=6/19/2017  ; 135817=XTERRA TRX3500 FP=
Xterra Owners Manuals/Treadmills/TRX4500_OM_20240607.pdf	TRX4500		2024	June 07, 2024	145817=Xterra TRX4500 FP=6/19/2017  ; 145817=XTERRA TRX4500 FP=
Xterra Owners Manuals/Treadmills/TRX5500_OM_20240320.pdf	TRX5500		2024	March 20, 2024	
Xterra Owners Manuals/Treadmills/WS200_OM_20230808.pdf	WS200	10/09/23	2023	August 07 2023	
Xterra Owners Manuals/Treadmills/WS300_OM_20230808.pdf	WS300	10/09/23	2023	August 07 2023	
Xterra Service Manuals/Bikes/AIR650 _165710_ SM.pdf	AIR650				165718=Xterra AIR650 FP=10/23/2018
Xterra Service Manuals/Bikes/FB160 Service Document.pdf	FB160				
Xterra Service Manuals/Climber Steppers/SB120 #120319 Service Doc.pdf	SB120				
Xterra Service Manuals/Rowers/ERG550W_ServiceManual20221124.pdf	ERG550W				
Xterra Service Manuals/Rowers/ERG600W Service Manual.pdf	ERG600W				
Xterra Service Manuals/Treadmills/GT90D-NT041_TRX5500_Service Manual.pdf	TRX5500				
Xterra Service Manuals/Treadmills/TR150 (GT65 - NT014) Service Manual.pdf	TR150				
Xterra Service Manuals/Treadmills/TR260_GT75A-NT050_Service manual.pdf	TR260				
Xterra Service Manuals/Treadmills/TR95H (JKEXER 337) service manual 09082024.pdf	TR95H				195813=TR95H FP=
Xterra Service Manuals/Treadmills/TRX1400 (T3-NT053-01)  Service Manual.pdf	TRX1400				140082=TRX1400 FP=
Xterra Service Manuals/Treadmills/TRX2500 (GT90B-NT022) service manual.pdf	TRX2500				125817=Xterra TRX2500 FP=6/19/2017  ; 125817=Xterra TRX2500 FP=
Xterra Service Manuals/Treadmills/TRX3500 4500 (GT90CD - NT023 NT024) Service Manual.pdf	TRX3500				135817=XTERRA TRX3500 FP=6/19/2017  ; 135817=XTERRA TRX3500 FP=
Xterra Service Manuals/Treadmills/XTERRA TR75H service manual_V1.0_20260127.pdf	TR75H				175825=TR75H FP=
Xterra Service Manuals/XTERRA APP QA EN.pdf	APPQA				
