file	pages	created	words	stamp	copyright	effective	cover
Spirit Owners Manuals/Rowers/ERG750/ERG750W_OM_20251112.pdf	28	2025 Dec  1	3831	Revision: 11.12.2025	©2025	Effective November 12, 2025	Online Support | If you require assistance or are | experiencing issues with your | XTERRA
Spirit Service Manuals/Bikes/SB600/SB600__service manual_V1.0.pdf	30	2025 Jul 27	4041	Version 1.0
2025/7/28;Version 1.0
2025/7/28			Page 1 of 30 | SERVICE MANUAL | SB600 | Page 2 of 30 | ...................................
Spirit Service Manuals/Rowers/ERG160/ERG160__service manual_V1.0.pdf	15	2025 Aug 25	596				SERVICE MANUAL | ERG160 | Rower | Contents | Remark: Some figure may different from the ma
Spirit Service Manuals/Rowers/ERG180/ERG180__service manual_V1.0.pdf	15	2025 Jul 31	1757	Version 1.0
2025/7/31;Version 1.0
2025/7/31			Page 1 of 15 | SERVICE MANUAL | ERG180 | Page 2 of 15 | ..................................
Spirit Service Manuals/Rowers/ERG750/ERG-750W Service Manual.pdf	26	2026 Mar 23	1344				ERG-750W | WATER ROWING MACHINE | SERVICE MANUAL | Contents
Spirit Service Manuals/Rowers/ERG800W/ERG800W_R80_service manual_V1.0.pdf	39	2025 Aug 11	7486	Version 1.0
2025/8/11;Version 1.0
2025/8/11			Page 1 of 39 | SERVICE MANUAL | ERG800W | Page 2 of 39 | .................................
Xterra Owners Manuals/Bikes/AIR350_OM.pdf	20	2025 Mar 24	3286		©2019	Effective June 13, 2019	AIR350 Airbike | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE OPERATIN
Xterra Owners Manuals/Bikes/AIR650_OM_20201211.pdf	24	2021 Jan 25	5482		©2020	Effective December 12, 2020	AIR650 Airbike Pro | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE OPER
Xterra Owners Manuals/Bikes/FB150_OM_20210827.pdf	16	2021 Aug 27	2813		©2021	Effective August 27, 2021	FITNESS | FB150 Folding Bike | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL B
Xterra Owners Manuals/Bikes/FB160_OM_20210506.pdf	20	2021 Jun 10	3498		©2019	Effective September 19, 2019	FITNESS | FB160 Folding Bike | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL B
Xterra Owners Manuals/Bikes/FB180_OwnersManual_20250409.pdf	20	2025 Apr 21	2987	Revision: 04.09.2025	©2025	Effective June 01, 2025	Online Support | If you require assistance or are | experiencing issues with your | XTERRA
Xterra Owners Manuals/Bikes/FB350_OM_20210827.pdf	18	2021 Aug 27	3021		©2021	Effective August 27, 2021	FITNESS | FB350 Folding Bike | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL B
Xterra Owners Manuals/Bikes/FB360_OM_20210506.pdf	24	2021 Jun 10	3951		©2019	Effective September 13, 2019	FITNESS | FB360 Folding Bike | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL B
Xterra Owners Manuals/Bikes/MB500_M_141314.pdf	11		0				
Xterra Owners Manuals/Bikes/MB550_OM_20180821.pdf	20	2018 Aug 30	4444		©2018	Effective August 21, 2018	MB550 INDOOR CYCLE | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE OPER
Xterra Owners Manuals/Bikes/MBX2500_OM_20180821.pdf	20	2018 Aug 30	3757		©2018	Effective August 21, 2018	MBX2500 INDOOR CYCLE | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE OP
Xterra Owners Manuals/Bikes/SB120_OM_20220721.pdf	24	2022 Jul 22	3897		©2022	Effective July 19, 2022	SB120 Recumbent Bike | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE OP
Xterra Owners Manuals/Bikes/SB150_OM_20180821.pdf	27	2018 Aug 30	5446		©2018	Effective August 21, 2018	FITNESS | SB150 RECUMBENT BIKE | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL
Xterra Owners Manuals/Bikes/SB240_OM_20230809.pdf	44	2023 Nov  9	7510	Revision: 08	©2023	Effective August 01, 2023	Online Support | If you require assistance or are | experiencing issues with your | XTERRA
Xterra Owners Manuals/Bikes/SB250_OM_20240418.pdf	28	2024 Apr 19	5986		©2019	Effective June 21, 2019	FITNESS | SB250 RECUMBENT BIKE | OWNER’S MANUAL | SB250_125313_OM_20240418 | PLEASE CAREFU
Xterra Owners Manuals/Bikes/SB25r_OM_20200706.pdf	20	2020 Jul  6	5092		©2018	Effective July 06, 2020	SB2.5 RECUMBENT BIKE | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE OP
Xterra Owners Manuals/Bikes/SB4500_OM_20210810.pdf	32	2021 Aug 10	5786		©2021	Effective August 10, 2021	SB4500 FITNESS BIKE | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE OPE
Xterra Owners Manuals/Bikes/SB45r_OM_145111.pdf	24		0				
Xterra Owners Manuals/Bikes/SB500_OM_150314.pdf	24		0				
Xterra Owners Manuals/Bikes/SB500_OM_20200706.pdf	24	2020 Jul  6	6856		©2018	Effective July 06, 2020	SB500 FITNESS BIKE | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE OPER
Xterra Owners Manuals/Bikes/SB600_OM_20230801.pdf	44	2023 Nov 17	6874	Revision: 08	©2023	Effective August 01, 2023	Online Support | If you require assistance or are | experiencing issues with your | XTERRA
Xterra Owners Manuals/Bikes/UB120_OM_20231206.pdf	24	2023 Dec 11	3464		©2019	Effective December 06, 2023	UB120 Upright Bike | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE OPER
Xterra Owners Manuals/Climbers Steppers/RSX1500_OM_115518.pdf	26		0				
Xterra Owners Manuals/Climbers Steppers/RSX1500_OM_20210712.pdf	32	2021 Jul 13	5980		©2021	Effective August 21, 2018	FITNESS | 箱視角 | RSX1500 | SEATED STEPPER | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENT
Xterra Owners Manuals/Ellipticals/EU100_OM_20180821.pdf	20	2018 Aug 30	3329		©2018	Effective August 21, 2018	FITNESS | EU100 HYBRID ELLIPTICAL | UPRIGHT BIKE OWNER’S MANUAL | PLEASE CAREFULLY READ TH
Xterra Owners Manuals/Ellipticals/EU150_OM_20240426.pdf	29	2024 Apr 29	5507		©2024	Effective April 26, 2024	FITNESS | EU150 HYBRID ELLIPTICAL UPRIGHT BIKE | OWNER’S MANUAL | EU150_115024_OM_20240426
Xterra Owners Manuals/Ellipticals/FS150_OM_115016.pdf	26		0				
Xterra Owners Manuals/Ellipticals/FS15_OM_20190215.pdf	20	2019 Feb 15	4555		©2019	Effective February 15, 2019	FS1.5 ELLIPTICAL | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE OPERAT
Xterra Owners Manuals/Ellipticals/FS25_OM_20200706.pdf	20	2020 Jul  8	5330		©2020	Effective July 06, 2020	FS2.5 ELLIPTICAL | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE OPERAT
Xterra Owners Manuals/Ellipticals/FS30_OM_20180821.pdf	20	2018 Aug 30	4934		©2018	Effective August 21, 2018	FS3.O ELLIPTICAL | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE OPERAT
Xterra Owners Manuals/Ellipticals/FS35_OM_20200706.pdf	20	2020 Jul  8	5296		©2020	Effective July 06, 2020	FS3.5 ELLIPTICAL | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE OPERAT
Xterra Owners Manuals/Ellipticals/FS5.8e_OM_1558012.pdf	24		0				
Xterra Owners Manuals/Ellipticals/FS59e_OM_159003.pdf	28		0				
Xterra Owners Manuals/Rowers/ER800W_OM_20231018.pdf	60	2024 Jan  3	9726	Revision: 10	©2023	Effective September 26, 2023	Rower | Online Support | If you require assistance or are | experiencing issues with your 
Xterra Owners Manuals/Rowers/ERG160_OM_20200429.pdf	24	2020 Apr 29	3407		©2020	Effective January 06, 2020	FITNESS | ERG160 ROWER | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE 
Xterra Owners Manuals/Rowers/ERG180_OM_20230801 (1).pdf	36	2023 Nov  9	5843	Revision: 08	©2023	Effective August 01, 2023	Online Support | If you require assistance or are | experiencing issues with your | XTERRA
Xterra Owners Manuals/Rowers/ERG180_OM_20230801.pdf	36	2023 Nov  9	5843	Revision: 08	©2023	Effective August 01, 2023	Online Support | If you require assistance or are | experiencing issues with your | XTERRA
Xterra Owners Manuals/Rowers/ERG220_OM_20230313.pdf	24	2023 Mar 15	3591		©2019		FITNESS | ERG220 ROWER | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE 
Xterra Owners Manuals/Rowers/ERG400_OM_140914.pdf	14		0				
Xterra Owners Manuals/Rowers/ERG500_OM_20180821.pdf	21	2018 Aug 30	3218		©2018	Effective August 21, 2018	FITNESS | ERG500 ROWER | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE 
Xterra Owners Manuals/Rowers/ERG550W_OM_20230101.pdf	32	2023 Jan 17	4997		©2022	Effective January 1, 2023	ERG550W WATER ROWING MACHINE | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL B
Xterra Owners Manuals/Rowers/ERG600W_OM_20210511.pdf	28	2021 May 11	3951		©2021	Effective May 11, 2021	FITNESS | ERG600W WATER ROWING MACHINE | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIR
